Title,Abstract,Authors,Affiliations
Grasp Analysis and Manipulation Kinematics for Isoperimetric Truss Robots,"Soft truss robots have demonstrated an ability to grasp and manipulate objects using the members of their structure. The compliance of the members affords large contact areas with even force distribution, allowing for successful grasping even with imprecise open-loop control. In this work we present methods of analyzing and controlling isoperimetric truss robots in the context of grasping and manipulating objects. We use a direct stiffness model to characterize the structural properties of the robot and its interactions with external objects. With this approach we can estimate grasp forces and stiffnesses with limited computation compared to higher fidelity finite elements methods, which, given the high degree-of-freedom of truss robots, are prohibitively expensive to run on-board. In conjunction with the structural model, we build upon a literature of differential kinematics for truss robots and apply it to the task of manipulating an object within the robot's workspace.
                           ","['Du, Yuqing', 'Watkins, Olivia', 'Pathak, Deepak', 'Abbeel, Pieter', 'Darrell, Trevor']","['UC Berkeley', 'UC Berkeley', 'Carnegie Mellon University', 'UC Berkeley', 'UC Berkeley']"
Uncertainty-Aware Non-Linear Model Predictive Control for Human-Following Companion Robot,"For a companion robot that follows a person as an assistant, predicting human walking is important to produce a proactive movement that is helpful to maintain an appropriate area decided by the human personal space. However, fully trusting the prediction may result in obstructing human walking because it is not always accurate. Hence, we consider the estimation of uncertainty (i.e., entropy) of the prediction to enable the robot to move without causing overconfident motion and without being late for the person it follows. To consider this uncertainty of the prediction to the controller, we introduce a reliability value that changes based on the entropy of the prediction. This value expresses the extent the controller should trust the prediction result, and it affects the cost function of our controller. We propose an uncertainty-aware robot controller based on nonlinear model predictive control to realize natural human-followings. We found that our uncertainty-aware control system can produce an appropriate robot movement, such as not obstructing the human walking and avoiding delay, in both simulations using actual human walking data and real-robot experiments.
                           ","['Siekmann, Jonah', 'Godse, Yesh', 'Fern, Alan', 'Hurst, Jonathan']","['Oregon State University', 'Oregon State University', 'Oregon State University', 'Oregon State University']"
Learning Spring Mass Locomotion: Guiding Policies with a Reduced-Order Model,"In this paper, we describe an approach to achieve dynamic legged locomotion on physical robots which combines existing methods for control with reinforcement learning. Specifically, our goal is a control hierarchy in which highest-level behaviors are planned through reduced-order models, which describe the fundamental physics of legged locomotion, and lower level controllers utilize a learned policy that can bridge the gap between the idealized, simple model and the complex, full order robot. The high-level planner can use a model of the environment and be task specific, while the low-level learned controller can execute a wide range of motions so that it applies to many different tasks. In this letter we describe this learned dynamic walking controller and show that a range of walking motions from reduced-order models can be used as the command and primary training signal for learned policies. The resulting policies do not attempt to naively track the motion (as a traditional trajectory tracking controller would) but instead balance immediate motion tracking with long term stability. The resulting controller is demonstrated on a human scale, unconstrained, untethered bipedal robot at speeds up to 1.2 m/s. This letter builds the foundation of a generic, dynamic learned walking controller that can be applied to many different tasks.
                           ","['Green, Kevin', 'Godse, Yesh', 'Dao, Jeremy', 'Hatton, Ross', 'Fern, Alan', 'Hurst, Jonathan']","['Oregon State University', 'Oregon State University', 'Oregon State University', 'Oregon State University', 'Oregon State University', 'Oregon State University']"
Auto-Tuned Sim-To-Real Transfer,"Policies trained in simulation often fail when transferred to the real world due to the ¡®reality gap¡¯ where the simulator is unable to accurately capture the dynamics and visual properties of the real world. Current approaches to tackle this problem, such as domain randomization, require prior knowledge and engineering to determine how much to randomize system parameters in order to learn a policy that is robust to sim-to-real transfer while also not being too conservative. We propose a method for automatically tuning simulator system parameters to match the real world using only raw RGB images of the real world without the need to define rewards or estimate state. Our key insight is to reframe the auto-tuning of parameters as a search problem where we iteratively shift the simulation system parameters to approach the real world system parameters. We propose a Search Param Model (SPM) that, given a sequence of observations and actions and a set of system parameters, predicts whether the given parameters are higher or lower than the true parameters used to generate the observations. We evaluate our method on multiple robotic control tasks in both sim-to-sim and sim-toreal transfer, demonstrating significant improvement over naive domain randomization. Project videos at https://yuqingd. github.io/autotuned-sim2real/.
                           ","['Du, Yuqing', 'Watkins, Olivia', 'Darrell, Trevor', 'Abbeel, Pieter', 'Pathak, Deepak']","['UC Berkeley', 'UC Berkeley', 'UC Berkeley', 'UC Berkeley', 'Carnegie Mellon University']"
Grasp Analysis and Manipulation Kinematics for Isoperimetric Truss Robots,"Soft truss robots have demonstrated an ability to grasp and manipulate objects using the members of their structure. The compliance of the members affords large contact areas with even force distribution, allowing for successful grasping even with imprecise open-loop control. In this work we present methods of analyzing and controlling isoperimetric truss robots in the context of grasping and manipulating objects. We use a direct stiffness model to characterize the structural properties of the robot and its interactions with external objects. With this approach we can estimate grasp forces and stiffnesses with limited computation compared to higher fidelity finite elements methods, which, given the high degree-of-freedom of truss robots, are prohibitively expensive to run on-board. In conjunction with the structural model, we build upon a literature of differential kinematics for truss robots and apply it to the task of manipulating an object within the robot's workspace.
                           ","['Duan, Helei', 'Dao, Jeremy', 'Green, Kevin', 'Apgar, Taylor', 'Fern, Alan', 'Hurst, Jonathan']","['Oregon State University', 'Oregon State University', 'Oregon State University', 'Agility Robotics', 'Oregon State University', 'Oregon State University']"
Sim-To-Real Learning of All Common Bipedal Gaits Via Periodic Reward Composition,"We study the problem of realizing the full spectrum of bipedal locomotion on a real robot with sim-to-real reinforcement learning (RL). A key challenge of learning legged locomotion is describing different gaits, via reward functions, in a way that is intuitive for the designer and specific enough to reliably learn the gait across different initial random seeds or hyperparameters. A common approach is to use reference motions (e.g. trajectories of joint positions) to guide learning. However, finding high-quality reference motions can be difficult and the trajectories themselves narrowly constrain the space of learned motion. At the other extreme, reference-free reward functions are often underspecified (e.g. move forward) leading to massive variance in policy behavior, or are the product of significant reward-shaping via trial-and-error, making them exclusive to specific gaits. In this work, we propose a reward-specification framework based on composing simple probabilistic periodic costs on basic forces and velocities. We instantiate this framework to define a parametric reward function with intuitive settings for all common bipedal gaits - standing, walking, hopping, running, and skipping. Using this function we demonstrate successful sim-to-real transfer of the learned gaits to the bipedal robot Cassie, as well as a generic policy that can transition between all of the two-beat gaits.
                           ","['Siekmann, Jonah', 'Godse, Yesh', 'Fern, Alan', 'Hurst, Jonathan']","['Oregon State University', 'Oregon State University', 'Oregon State University', 'Oregon State University']"
Contextual Latent-Movements Off-Policy Optimization for Robotic Manipulation Skills,"Parameterized movement primitives have been extensively used for imitation learning of robotic tasks. However, the high-dimensionality of the parameter space hinders the improvement of such primitives in the reinforcement learning (RL) setting, especially for learning with physical robots. In this paper we propose a novel view on handling the demonstrated trajectories for acquiring low-dimensional, non-linear latent dynamics, using mixtures of probabilistic principal component analyzers (MPPCA) on the movements' parameter space. Moreover, we introduce a new contextual off-policy RL algorithm, named LAtent-Movements Policy Optimization (LAMPO). LAMPO can provide gradient estimates from previous experience using self-normalized importance sampling, hence, making full use of samples collected in previous learning iterations. These advantages combined provide a complete framework for sample-efficient off-policy optimization of movement primitives for robot learning of high-dimensional manipulation skills. Our experimental results conducted both in simulation and on a real robot show that LAMPO provides sample-efficient policies against common approaches in literature.
                           ","['Tosatto, Samuele', 'Chalvatzaki, Georgia', 'Peters, Jan']","['Technical University Darmstadt', 'Technische Universit?t Darmastadt, Intelligent Autonomous Syste', 'Technische Universit?t Darmstadt']"
Data-Efficient Domain Randomization with Bayesian Optimization,"When learning policies for robot control, the required real-world data is typically prohibitively expensive to acquire, so learning in simulation is a popular strategy. Unfortunately, such polices are often not transferable to the real world due to a mismatch between the simulation and reality, called ¡®reality gap¡¯. Domain randomization methods tackle this problem by randomizing the physics simulator (source domain) during training according to a distribution over domain parameters in order to obtain more robust policies that are able to overcome the reality gap. Most domain randomization approaches sample the domain parameters from a fixed distribution. This solution is suboptimal in the context of sim-to-real transferability, since it yields policies that have been trained without explicitly optimizing for the reward on the real system (target domain). Additionally, a fixed distribution assumes there is prior knowledge about the uncertainty over the domain parameters. In this paper, we propose Bayesian Domain Randomization (BayRn), a black-box sim-to-real algorithm that solves tasks efficiently by adapting the domain parameter distribution during learning given sparse data from the real-world target domain. BayRn uses Bayesian optimization to search the space of source domain distribution parameters such that this leads to a policy which maximizes the real-word objective, allowing for adaptive distributions during policy optimization.
                           ","['Muratore, Fabio', 'Eilers, Christian', 'Gienger, Michael', 'Peters, Jan']","['TU Darmstadt', 'Technische Universit?t Darmstadt', 'Honda Research Institute Europe', 'Technische Universit?t Darmstadt']"
Model Predictive Actor-Critic: Accelerating Robot Skill Acquisition with Deep Reinforcement Learning,"Substantial advancements to model-based reinforcement learning algorithms have been impeded by the model-bias induced by the collected data, which generally hurts performance. Meanwhile, their inherent sample efficiency warrants utility for most robot applications, limiting potential damage to the robot and its environment during training. Inspired by information theoretic model predictive control and advances in deep reinforcement learning, we introduce Model Predictive Actor-Critic (MoPAC), a hybrid model-based/model-free method that combines model predictive rollouts with policy optimization as to mitigate model bias. MoPAC leverages optimal trajectories to guide policy learning, but explores via its model-free method, allowing the algorithm to learn more expressive dynamics models. This combination guarantees optimal skill learning up to an approximation error and reduces necessary physical interaction with the environment, making it suitable for real-robot training. We provide extensive results showcasing how our proposed method generally outperforms current state-of-the-art and conclude by evaluating MoPAC for learning on a physical robotic hand performing valve rotation and finger gaiting--a task that requires grasping, manipulation, and then regrasping of an object.
                           ","['Morgan, Andrew', 'Nandha, Daljeet', 'Chalvatzaki, Georgia', ""D'Eramo, Carlo"", 'Dollar, Aaron', 'Peters, Jan']","['Yale University', 'Technische Universit?t Darmstadt', 'Technische Universit?t Darmastadt, Intelligent Autonomous Syste', 'TU Darmstadt', 'Yale University', 'Technische Universit?t Darmstadt']"
Differentiable Physics Models for Real-World Offline Model-Based Reinforcement Learning,"A limitation of model-based reinforcement learning (MBRL) is the exploitation of errors in the learned models. Black-box models can fit complex dynamics with high fidelity, but their behavior is undefined outside of the data distribution. Physics-based models are better at extrapolating, due to the general validity of their informed structure, but underfit in the real world due to the presence of unmodeled phenomena. In this work, we demonstrate experimentally that for the emph{offline} model-based reinforcement learning setting, physics-based models can be beneficial compared to high-capacity function approximators if the mechanical structure is known. Physics-based models can learn to perform the ball in a cup (BiC) task on a physical manipulator using only 4 minutes of sampled data using offline MBRL. We find that black-box models consistently produce unviable policies for BiC as all predicted trajectories diverge to physically impossible state, despite having access to more data than the physics-based model. In addition, we generalize the approach of physics parameter identification from modeling holonomic multi-body systems to systems with nonholonomic dynamics using end-to-end automatic differentiation.Videos: https://sites.google.com/view/ball-in-a-cup-in-4-minutes/
                           ","['Lutter, Michael', 'Silberbauer, Johannes', 'Watson, Joe', 'Peters, Jan']","['Technische Universitaet Darmstadt', 'Technical University of Darmstadt', 'Technical University Darmstadt', 'Technische Universit?t Darmstadt']"
LEAF: Latent Exploration Along the Frontier,"Self-supervised goal proposal and reaching is a key component for exploration and efficient policy learning algorithms. Such a self-supervised approach without access to any oracle goal sampling distribution requires deep exploration and commitment so that long horizon plans can be efficiently discovered. In this paper, we propose an exploration framework, which learns a dynamics-aware manifold of reachable states. For a goal, our proposed method deterministically visits a state at the current frontier of reachable states (commitment/reaching) and then stochastically explores to reach the goal (exploration). This allocates exploration budget near the frontier of the reachable region instead of its interior. We target the challenging problem of policy learning from initial and goal states specified as images, and do not assume any access to the underlying ground-truth states of the robot and the environment. To keep track of reachable latent states, we propose a distance-conditioned reachability network that is trained to infer whether one state is reachable from another within the specified latent space distance. Given an initial state, we obtain a frontier of reachable states from that state. By incorporating a curriculum for sampling easier goals (closer to the start state) before more difficult goals, we demonstrate that the proposed self-supervised exploration algorithm, superior performance compared to existing baselines on a set of challenging robotic environments.
                           ","['Bharadhwaj, Homanga', 'Garg, Animesh', 'Shkurti, Florian']","['University of Toronto, Canada', 'University of Toronto', 'University of Toronto']"
Shaping Rewards for Reinforcement Learning with Imperfect Demonstrations Using Generative Models,"The potential benefits of model-free reinforcement learning to real robotics systems are limited by its uninformed exploration that leads to slow convergence, lack of data-efficiency, and unnecessary interactions with the environment. To address these drawbacks we propose a method that combines reinforcement and imitation learning by shaping the reward function with a state-and-action-dependent potential that is trained from demonstration data, using a generative model. We show that this accelerates policy learning by specifying high-value areas of the state and action space that are worth exploring first. Unlike the majority of existing methods that assume optimal demonstrations and incorporate the demonstration data as hard constraints on policy optimization, we instead incorporate demonstration data as advice in the form of a reward shaping potential trained as a generative model of states and actions. In particular, we examine both normalizing flows and Generative Adversarial Networks to represent these potentials. We show that, unlike many existing approaches that incorporate demonstrations as hard constraints, our approach is unbiased even in the case of suboptimal and noisy demonstrations. We present an extensive range of simulations, as well as experiments on the Franka Emika 7DOF arm, to demonstrate the practicality of our method.
                           ","['Wu, Yuchen', 'Mozifian, Melissa', 'Shkurti, Florian']","['University of Toronto', 'McGill University', 'University of Toronto']"
Instance-Aware Predictive Navigation in Multi-Agent Environments,"In this work, we aim to achieve ef?cient end-to-end learning of driving policies in dynamic multi-agent environments. Predicting and anticipating future events at the object level are critical for making informed driving decisions. We propose an Instance-Aware Predictive Control (IPC) approach, which forecasts interactions between agents as well as future scene structures. We adopt a novel multi-instance event prediction module to estimate the possible interaction among agents in the ego-centric view, conditioned on the selected action sequence of the ego-vehicle. To decide the action at each step, we seek the action sequence that can lead to safe future states based on the prediction module outputs by repeatedly sampling likely action sequences. We design a sequential action sampling strategy to better leverage predicted states on both scene-level and instance-level. Our method establishes a new state of the art in the challenging CARLA multi-agent driving simulation environments without expert demonstration, giving better explainability and sample efficiency.
                           ","['Cao, Jinkun', 'Wang, Xin', 'Darrell, Trevor', 'Yu, Fisher']","['Carnegie Mellon University', 'UC Berkeley', 'UC Berkeley', 'ETH Zurich']"
Deep Affordance Foresight: Planning through What Can Be Done in the Future,"Planning in realistic environments requires searching in large planning spaces. Affordances are a powerful concept to simplify this search, because they model what actions can be successful in a given situation. However, the classical notion of affordance is not suitable for long horizon planning because it only informs the robot about the immediate outcome of actions instead of what actions are best for achieving a long-term goal. In this paper, we introduce a new affordance representation that enables the robot to reason about the long-term effects of actions through modeling what actions are afforded in the future, thereby informing the robot the best actions to take next to achieve a task goal. Based on the new representation, we develop a learning-to-plan method, Deep Affordance Foresight (DAF), that learns partial environment models of affordances of parameterized motor skills through trial-and-error. We evaluate DAF on two challenging manipulation domains and show that it can effectively learn to carry out multi-step tasks, share learned affordance representations among different tasks, and learn to plan with high-dimensional image inputs.
                           ","['Xu, Danfei', 'Mandlekar, Ajay Uday', 'Mart¨ªn-Mart¨ªn, Roberto', 'Zhu, Yuke', 'Savarese, Silvio', 'Fei-Fei, Li']","['Stanford Univesity', 'Stanford University', 'Stanford University', 'The University of Texas at Austin', 'Stanford University', 'Stanford University']"
Continual Model-Based Reinforcement Learning with Hypernetworks,"Effective planning in model-based reinforcement learning (MBRL) and model-predictive control (MPC) relies on the accuracy of the learned dynamics model. In many instances of MBRL and MPC, this model is assumed to be stationary and is periodically re-trained from scratch on state transition experience collected from the beginning of environment interactions. This implies that the time required to train the dynamics model ¨C and the pause required between plan executions ¨C grows linearly with the size of the collected experience. We argue that this is too slow for lifelong robot learning and propose HyperCRL, a method that continually learns the encountered dynamics in a sequence of tasks using task-conditional hypernetworks. Our method has three main attributes: first, it includes dynamics learning sessions that do not revisit training data from previous tasks, so it only needs to store the most recent fixed-size portion of the state transition experience; second, it uses fixed-capacity hypernetworks to represent non-stationary and task-aware dynamics; third, it outperforms existing continual learning alternatives that rely on fixed-capacity networks, and does competitively with baselines that remember an ever increasing coreset of past experience. We show that HyperCRL is effective in continual model-based reinforcement learning in robot locomotion and manipulation scenarios, such as tasks involving pushing and door opening.
                           ","['Huang, Yizhou', 'Xie, Kevin', 'Bharadhwaj, Homanga', 'Shkurti, Florian']","['University of Toronto', 'University of Toronto', 'University of Toronto, Canada', 'University of Toronto']"
ReLMoGen: Integrating Motion Generation in Reinforcement Learning for Mobile Manipulation,"Many Reinforcement Learning (RL) approaches use joint control signals (positions, velocities, torques) as action space for continuous control tasks. We propose to lift the action space to a higher level in the form of subgoals for a motion generator. We argue that, by lifting the action space and by leveraging sampling-based motion planners, we can efficiently use RL to solve complex, long-horizon tasks that could not be solved with existing RL methods in the original action space. We propose ReLMoGen -- a framework that combines a learned policy to predict subgoals and a motion generator to plan and execute the motion needed to reach these subgoals. To validate our method, we apply ReLMoGen to two types of tasks: 1) Interactive Navigation tasks, navigation problems where interactions with the environment are required to reach the destination, and 2) Mobile Manipulation tasks, manipulation tasks that require moving the robot base. These problems are challenging because they are usually long-horizon, hard to explore during training, and comprise alternating phases of navigation and interaction. Our method is benchmarked on a diverse set of seven robotics tasks in photo-realistic simulation environments. In all settings, ReLMoGen outperforms state-of-the-art RL and Hierarchical RL baselines. ReLMoGen also shows outstanding transferability between different motion generators at test time, indicating a great potential to transfer to real robots.
                           ","['Xia, Fei', 'Li, Chengshu', 'Mart¨ªn-Mart¨ªn, Roberto', 'Litany, Or', 'Toshev, Alexander', 'Savarese, Silvio']","['Stanford University', 'Stanford University', 'Stanford University', 'Nvidia', 'Google', 'Stanford University']"
Policy Transfer Via Kinematic Domain Randomization and Adaptation,"Transferring reinforcement learning policies trained in physics simulation to the real hardware remains a challenge, known as the ``sim-to-real'' gap. Domain randomization is a simple yet effective technique to address dynamics discrepancies across source and target domains, but its success generally depends on heuristics and trial-and-error. In this work we investigate the impact of randomized parameter selection on policy transferability across different types of domain discrepancies. Contrary to common practice in which kinematic parameters are carefully measured while dynamic parameters are randomized, we found that virtually randomizing kinematic parameters (e.g., link lengths) during training in simulation generally outperforms dynamic randomization. Based on this finding, we introduce a new domain adaptation algorithm that utilizes simulated kinematic parameters variation. Our algorithm, Multi-Policy Bayesian Optimization, trains an ensemble of universal policies conditioned on virtual kinematic parameters and efficiently adapts to the target environment using a limited number of target domain rollouts. We showcase our findings on a simulated quadruped robot in five different target environments covering different aspects of domain discrepancies.
                           ","['Exarchos, Ioannis', 'Jiang, Yifeng', 'Yu, Wenhao', 'Liu, Karen']","['Stanford University', 'Stanford University', 'Georgia Institute of Technology', 'Stanford University']"
